Year;Author;Title;ID;ID_2;Exp_ID;Treatment_ID;ES_ID;Comparison;Type_of_study;Study_Design;Kind_of_Medical_Field;Medical_Field;LLM_Model;Accessed_model;Model_version;Timestamp_of_model;Test_Data;Recruitment_Country;Recruitment_Context_of_Physicians;Average_Length_of_Patient_Cases_Mean_Words;Average_Length_of_Patient_Cases_SD_Words;Case_setting;Task_Format;Patient_history;Input_Form_Patient_Information_in_LLM;Follow_Up_Prompts_Allowed;Average_Number_of_Prompts_Mean;Average_Number_of_Prompts_SD;Division_of_Labor;Explanation_Format_of_LLM;Composite_score;Sample_Size;Note;Time_lag_sessions;Type_of_Results;Measure_type;N_total;M_control;n_control_case;n_control_physician;n_control;SE_control;SD_control;95CI_lower_control;95CI_upper_control;M_treatment;n_treatment_case;n_treatment_physician;n_treatment;SE_treatment;SD_treatment;95CI_lower_treatment;95CI_upper_treatment;Performance_Difference;95CI_lower_performance_diff;95CI_upper_performance_diff;Performance_difference_p_value;Odds_Ratio;95CI_lower_odds_ratio;95CI_upper_odds_ratio;Career_stage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Goh et al. ;"GPT-4 assistance for improvement of
physician performance on patient care tasks:
a randomized controlled trial";Goh et al. ;6;61;1;611;standard;peer-reviewed;RCT;general medicine (internal, emergency, family);general medicine;GPT-4;ChatGPT plus (OpenAI);NA;NA;external;US;(University) Hospitals;NA;NA;Adopted real-world cases;free text;NR;text;Yes;NA;NA;Direct access to LLM;standard;yes;92;NA;NA (separate groups);Scoring system;Accuracy;NA;0.46;5.00;46.00;199.00;NA;0.27;NA;NA;0.57;5.00;46.00;176.00;NA;0.38;NA;NA;0.12;0.31;0.21;0.01;NA;NA;NA;mixed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Mukherjee et al.;Evaluation of GPT Large Language Model Performance on RSNA 2023 Case of the Day Questions;Mukherjee et al.;7;71;1;711;Sub-group 1: cases with Image + text;peer-reviewed;observer study;radiology;radiology;GPT-4V;ChatGPT plus (OpenAI), web interface;NA;2023_04;unknown;US;academic medical centers;NA;NA;Real-world (published) cases;multiple choice;1;multimodal (text + image);No;NA;NA;With Human Pre-Work;standard;no;NA;same physicians with and without AI assistance;NA;top-1;Accuracy;NA;0.55;62.00;3.00;186.00;NA;0.50;NA;NA;0.50;62.00;3.00;186.00;NA;0.50;NA;NA;-0.05;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Mukherjee et al.;Evaluation of GPT Large Language Model Performance on RSNA 2023 Case of the Day Questions;Mukherjee et al.;7;72;1;721;Sub-group 1: cases with text only;peer-reviewed;observer study;radiology;radiology;GPT-4V;ChatGPT plus (OpenAI), web interface;NA;2023_04;unknown;US;academic medical centers;NA;NA;Real-world (published) cases;multiple choice;1;text;No;NA;NA;With Human Pre-Work;standard;no;NA;same physicians with and without AI assistance;NA;top-1;Accuracy;NA;0.73;10.00;3.00;30.00;NA;0.44;NA;NA;0.67;10.00;3.00;30.00;NA;0.47;NA;NA;-0.07;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Mukherjee et al.;Evaluation of GPT Large Language Model Performance on RSNA 2023 Case of the Day Questions;Mukherjee et al.;7;73;1;731;Sub-group 2: cases with Image + text;peer-reviewed;observer study;radiology;radiology;GPT-4V;ChatGPT plus (OpenAI), web interface;NA;2023_04;unknown;US;academic medical centers;NA;NA;Real-world (published) cases;multiple choice;1;multimodal (text + image);No;NA;NA;With Human Pre-Work;standard;no;NA;same physicians with and without AI assistance;NA;top-1;Accuracy;NA;0.56;62.00;3.00;186.00;NA;0.50;NA;NA;0.55;62.00;3.00;186.00;NA;0.50;NA;NA;-0.01;NA;NA;NA;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Mukherjee et al.;Evaluation of GPT Large Language Model Performance on RSNA 2023 Case of the Day Questions;Mukherjee et al.;7;74;1;741;Sub-group 2: cases with text only;peer-reviewed;observer study;radiology;radiology;GPT-4V;ChatGPT plus (OpenAI), web interface;NA;2023_04;unknown;US;academic medical centers;NA;NA;Real-world (published) cases;multiple choice;1;text;No;NA;NA;With Human Pre-Work;standard;no;NA;same physicians with and without AI assistance;NA;top-1;Accuracy;NA;0.63;10.00;3.00;30.00;NA;0.48;NA;NA;0.77;10.00;3.00;30.00;NA;0.42;NA;NA;0.13;NA;NA;NA;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Weuthen et al.;Comparison of ChatGPT and Internet Research for Clinical Research and Decision-Making in Occupational Medicine: Randomized Controlled Trial;Weuthen et al.;8;81;1;811;standard;peer-reviewed;RCT;occupational medicine;general medicine;GPT-4;ChatGPT;0125-preview;NA;unknown;Germany;University and hospital;NA;NA;Adopted real-world cases;free text;0;text;Yes;NA;NA;Direct access to LLM;standard;no;15;different groups, but all groups solving the same sample;NA;top-1;Accuracy;32.00;0.40;1.00;14.00;14.00;NA;0.49;NA;NA;0.50;1.00;18.00;18.00;NA;0.50;NA;NA;0.10;NA;NA;0.69;NA;0.18;3.06;mixed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Kim et al. ;Human-AI Collaboration in Large Language Model-Assisted Brain MRI Differential Diagnosis: A Usability Study;Kim et al. ;9;91;1;911;top-3 accuracy;peer-reviewed;usability study;radiology;radiology;GPT-4;Perplexity AI;NA;NA;unknown;Germany;University hospital;NA;NA;Real-world;differential, free text;1;multimodal (text + image);Yes;2.12;1.56;Direct access to LLM;differential;no;6;same people solve cases with and without LLM assistance but cases vary, i.e. , different cases used for LLM assistance than without;NA;top-3;Accuracy;114.00;0.46;40.00;6.00;114.00;NA;0.50;NA;NA;0.61;40.00;6.00;114.00;NA;0.49;NA;NA;0.15;NA;NA;0.03;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Kim et al. ;Human-AI Collaboration in Large Language Model-Assisted Brain MRI Differential Diagnosis: A Usability Study;Kim et al. ;9;91;2;912;top-1 accuracy;peer-reviewed;usability study;radiology;radiology;GPT-4;Perplexity AI;NA;NA;unknown;Germany;University hospital;NA;NA;Real-world;differential, free text;1;multimodal (text + image);Yes;2.12;1.56;Direct access to LLM;differential;no;6;same people solve cases with and without LLM assistance but cases vary, i.e. , different cases used for LLM assistance than without;NA;top-1;Accuracy;114.00;0.35;40.00;6.00;114.00;NA;0.48;NA;NA;0.48;40.00;6.00;114.00;NA;0.50;NA;NA;0.13;NA;NA;0.03;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Siepmann et al. ;The virtual reference radiologist: comprehensive AI assistance for clinical image reading and interpretation;Siepmann et al. ;10;101;1;1011;Sub-Group 1: top-3 accuracy, <1 year experience;peer-reviewed;retrospective study;radiology;radiology;GPT-4;ChatGPT;NA;2024_05;external;Germany;NA;NA;NA;Real-world;differential, free text;0;multimodal (text + image);Yes;NA;NA;With Human Pre-Work;differential, standard;no;2;same people solve SAME cases with and without LLM assistance, time delay of 0-18 days inbetween;NA;top-3;Accuracy;80.00;0.60;40.00;2.00;80.00;NA;0.49;NA;NA;0.69;40.00;2.00;80.00;NA;0.46;NA;NA;0.09;NA;NA;NA;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Siepmann et al. ;The virtual reference radiologist: comprehensive AI assistance for clinical image reading and interpretation;Siepmann et al. ;10;102;1;1021;Sub-Group 1: top-3 accuracy, 1-4 years experience;peer-reviewed;retrospective study;radiology;radiology;GPT-4;ChatGPT;NA;2024_05;external;Germany;NA;NA;NA;Real-world;differential, free text;0;multimodal (text + image);Yes;NA;NA;With Human Pre-Work;differential, standard;no;2;same people solve SAME cases with and without LLM assistance, time delay of 0-18 days inbetween;NA;top-3;Accuracy;80.00;0.79;40.00;2.00;80.00;NA;0.41;NA;NA;0.78;40.00;2.00;80.00;NA;0.42;NA;NA;-0.01;NA;NA;NA;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Siepmann et al. ;The virtual reference radiologist: comprehensive AI assistance for clinical image reading and interpretation;Siepmann et al. ;10;103;1;1031;Sub-Group 1: top-3 accuracy, >4 years experience;peer-reviewed;retrospective study;radiology;radiology;GPT-4;ChatGPT;NA;2024_05;external;Germany;NA;NA;NA;Real-world;differential, free text;0;multimodal (text + image);Yes;NA;NA;With Human Pre-Work;differential, standard;no;2;same people solve SAME cases with and without LLM assistance, time delay of 0-18 days inbetween;NA;top-3;Accuracy;80.00;0.88;40.00;2.00;80.00;NA;0.33;NA;NA;0.89;40.00;2.00;80.00;NA;0.32;NA;NA;0.01;NA;NA;NA;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Siepmann et al. ;The virtual reference radiologist: comprehensive AI assistance for clinical image reading and interpretation;Siepmann et al. ;10;101;2;1012;Sub-Group 2: top-1 accuracy, <1 year experience;peer-reviewed;retrospective study;radiology;radiology;GPT-4;ChatGPT;NA;2024_05;external;Germany;NA;NA;NA;Real-world;differential, free text;0;multimodal (text + image);Yes;NA;NA;With Human Pre-Work;differential, standard;no;2;same people solve SAME cases with and without LLM assistance, time delay of 0-18 days inbetween;NA;top-1;Accuracy;80.00;0.49;40.00;2.00;80.00;NA;0.50;NA;NA;0.59;40.00;2.00;80.00;NA;0.49;NA;NA;0.10;NA;NA;NA;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Siepmann et al. ;The virtual reference radiologist: comprehensive AI assistance for clinical image reading and interpretation;Siepmann et al. ;10;102;2;1022;Sub-Group 2: top-1 accuracy, 1-4 years experience;peer-reviewed;retrospective study;radiology;radiology;GPT-4;ChatGPT;NA;2024_05;external;Germany;NA;NA;NA;Real-world;differential, free text;0;multimodal (text + image);Yes;NA;NA;With Human Pre-Work;differential, standard;no;2;same people solve SAME cases with and without LLM assistance, time delay of 0-18 days inbetween;NA;top-1;Accuracy;80.00;0.65;40.00;2.00;80.00;NA;0.48;NA;NA;0.66;40.00;2.00;80.00;NA;0.47;NA;NA;0.01;NA;NA;NA;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Siepmann et al. ;The virtual reference radiologist: comprehensive AI assistance for clinical image reading and interpretation;Siepmann et al. ;10;103;2;1032;Sub-Group 2: top-1 accuracy, >4 years experience;peer-reviewed;retrospective study;radiology;radiology;GPT-4;ChatGPT;NA;2024_05;external;Germany;NA;NA;NA;Real-world;differential, free text;0;multimodal (text + image);Yes;NA;NA;With Human Pre-Work;differential, standard;no;2;same people solve SAME cases with and without LLM assistance, time delay of 0-18 days inbetween;NA;top-1;Accuracy;80.00;0.79;40.00;2.00;80.00;NA;0.41;NA;NA;0.79;40.00;2.00;80.00;NA;0.41;NA;NA;0.00;NA;NA;NA;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;11;111;1;1111;Sub-Group 1: internal medicine specialty, top-10 result;peer-reviewed;randomized study (RCT?);internal medicine;general medicine;PaLM 2;AMIE;NA;NA;external;United States;Hospital?;NA;NA;Real-world (published) cases;differential, free text;1;text;Yes;2.92;NA;With Human Pre-Work;differential, standard;no;20;no assistance comparison;NA;top-10;Accuracy;159.00;0.35;159.00;20.00;318.00;NA;0.48;NA;NA;0.53;159.00;10.00;159.00;NA;0.50;NA;NA;0.37;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;11;111;2;1112;Sub-Group 1: internal medicine specialty, top-1 result;peer-reviewed;randomized study (RCT?);internal medicine;general medicine;PaLM 2;AMIE;NA;NA;external;United States;Hospital?;NA;NA;Real-world (published) cases;differential, free text;1;text;Yes;2.92;NA;With Human Pre-Work;differential, standard;no;20;no assistance comparison;NA;top-1;Accuracy;159.00;0.16;159.00;20.00;318.00;NA;0.36;NA;NA;0.25;159.00;10.00;159.00;NA;0.43;NA;NA;0.07;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;11;112;1;1121;Sub-Group 2: neurology specialty, top-10 result;peer-reviewed;randomized study (RCT?);neurology;other;PaLM 2;AMIE;NA;NA;external;United States;Hospital?;NA;NA;Real-world (published) cases;differential, free text;1;text;Yes;2.92;NA;With Human Pre-Work;differential, standard;no;20;no assistance comparison;NA;top-10;Accuracy;42.00;0.32;42.00;20.00;84.00;NA;0.47;NA;NA;0.51;42.00;10.00;42.00;NA;0.50;NA;NA;0.20;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;11;112;2;1122;Sub-Group 2: neurology specialty, top-1 result;peer-reviewed;randomized study (RCT?);neurology;other;PaLM 2;AMIE;NA;NA;external;United States;Hospital?;NA;NA;Real-world (published) cases;differential, free text;1;text;Yes;2.92;NA;With Human Pre-Work;differential, standard;no;20;no assistance comparison;NA;top-1;Accuracy;42.00;0.17;42.00;20.00;84.00;NA;0.38;NA;NA;0.24;42.00;10.00;42.00;NA;0.43;NA;NA;0.07;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;11;113;1;1131;Sub-Group 3: paediatrics specialty, top-10 result;peer-reviewed;randomized study (RCT?);paediatrics;other;PaLM 2;AMIE;NA;NA;external;United States;Hospital?;NA;NA;Real-world (published) cases;differential, free text;1;text;Yes;2.92;NA;With Human Pre-Work;differential, standard;no;20;no assistance comparison;NA;top-10;Accuracy;33.00;0.23;33.00;20.00;66.00;NA;0.42;NA;NA;0.30;33.00;10.00;33.00;NA;0.46;NA;NA;0.08;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;11;113;2;1132;Sub-Group 3: paediatrics specialty, top-1 result;peer-reviewed;randomized study (RCT?);paediatrics;other;PaLM 2;AMIE;NA;NA;external;United States;Hospital?;NA;NA;Real-world (published) cases;differential, free text;1;text;Yes;2.92;NA;With Human Pre-Work;differential, standard;no;20;no assistance comparison;NA;top-1;Accuracy;33.00;0.06;33.00;20.00;66.00;NA;0.24;NA;NA;0.15;33.00;10.00;33.00;NA;0.36;NA;NA;0.09;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;11;114;1;1141;Sub-Group 4: psychiatry specialty, top-10 result;peer-reviewed;randomized study (RCT?);psychiatry;other;PaLM 2;AMIE;NA;NA;external;United States;Hospital?;NA;NA;Real-world (published) cases;differential, free text;1;text;Yes;2.92;NA;With Human Pre-Work;differential, standard;no;20;no assistance comparison;NA;top-10;Accuracy;10.00;0.50;10.00;20.00;20.00;NA;0.50;NA;NA;0.60;10.00;10.00;10.00;NA;0.49;NA;NA;0.10;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;McDuff et al. ;Towards accurate differential diagnosis with large language models;McDuff et al. ;11;114;2;1142;Sub-Group 4: psychiatry specialty, top-1 result;peer-reviewed;randomized study (RCT?);psychiatry;other;PaLM 2;AMIE;NA;NA;external;United States;Hospital?;NA;NA;Real-world (published) cases;differential, free text;1;text;Yes;2.92;NA;With Human Pre-Work;differential, standard;no;20;no assistance comparison;NA;top-1;Accuracy;10.00;0.20;10.00;20.00;20.00;NA;0.40;NA;NA;0.30;10.00;10.00;10.00;NA;0.46;NA;NA;0.10;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Sheng et al. ;Large Language Models for Diagnosing Focal Liver Lesions From CT/MRI Reports: A Comparative Study With Radiologists;Sheng et al. ;12;121;1;1211;Group 1: top-3 results, physicians with 2-3 years of experience;peer-reviewed;retrospective study;radiology;radiology;GPT-4o;ChatGPT;NA;"single-step: 2025_02;
two-step: 2024_06";external;China;University hospital;NA;NA;Real-world;differential;1;text;No;NA;NA;With Human Pre-Work;differential;no;6;same physicians with and without AI assistance;NA;top-3;Accuracy;684.00;0.89;228.00;3.00;684.00;NA;0.31;NA;NA;0.89;228.00;3.00;684.00;NA;0.31;NA;NA;0.00;NA;NA;NA;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Sheng et al. ;Large Language Models for Diagnosing Focal Liver Lesions From CT/MRI Reports: A Comparative Study With Radiologists;Sheng et al. ;12;121;2;1212;Group 1: top-1 results, physicians with 2-3 years of experience;peer-reviewed;retrospective study;radiology;radiology;GPT-4o;ChatGPT;NA;"single-step: 2025_02;
two-step: 2024_06";external;China;University hospital;NA;NA;Real-world;differential;1;text;No;NA;NA;With Human Pre-Work;differential;no;6;same physicians with and without AI assistance;NA;top-1;Accuracy;684.00;0.80;228.00;3.00;684.00;NA;0.40;NA;NA;0.81;228.00;3.00;684.00;NA;0.39;NA;NA;0.00;NA;NA;NA;NA;NA;NA;resident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Sheng et al. ;Large Language Models for Diagnosing Focal Liver Lesions From CT/MRI Reports: A Comparative Study With Radiologists;Sheng et al. ;12;122;1;1221;Group 2: top-3 results, physicians with 7-10 years of experience;peer-reviewed;retrospective study;radiology;radiology;GPT-4o;ChatGPT;NA;"single-step: 2025_02;
two-step: 2024_06";external;China;University hospital;NA;NA;Real-world;differential;1;text;No;NA;NA;With Human Pre-Work;differential;no;6;same physicians with and without AI assistance;NA;top-3;Accuracy;684.00;0.92;228.00;3.00;684.00;NA;0.27;NA;NA;0.92;228.00;3.00;684.00;NA;0.27;NA;NA;0.00;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Sheng et al. ;Large Language Models for Diagnosing Focal Liver Lesions From CT/MRI Reports: A Comparative Study With Radiologists;Sheng et al. ;12;122;2;1222;Group 2: top-1 results, physicians with 7-10 years of experience;peer-reviewed;retrospective study;radiology;radiology;GPT-4o;ChatGPT;NA;"single-step: 2025_02;
two-step: 2024_06";external;China;University hospital;NA;NA;Real-world;differential;1;text;No;NA;NA;With Human Pre-Work;differential;no;6;same physicians with and without AI assistance;NA;top-1;Accuracy;684.00;0.85;228.00;3.00;684.00;NA;0.35;NA;NA;0.85;228.00;3.00;684.00;NA;0.35;NA;NA;0.00;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
